ID,File Name (VDD),File Name (Local Dir),File Name Result,CI Ref (VDD),CI Ref (Local Dir),CI Ref (Config List),CI Ref Result,Version (VDD),Version (Local Dir),Version (Config List),Version Result,MD5 (VDD),MD5 (Local Dir),MD5 Result,CRC-32 (VDD),CRC-32 (Local Dir),CRC-32 Result,Document Link,Doc Link Result,Source,Local Status,File Status,SHA-1,CRC-32
-41,"DP-CRF-6648-600-PCIL-1V00","NOT FOUND",N/A,"DP-CRF-6648-600-PCIL-1V00","N/A","DP-CRF-6648-600-PCIL-1V00",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PRODUCT CONFIG\MODULE-2019\DP-CRF-6648\HDD\PCIL\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-40,"DP-CRF-6648-600-SIM_LAY-1V00","NOT FOUND",N/A,"DP-CRF-6648-600-SIM_LAY-1V00","N/A","DP-CRF-6648-600-SIM_LAY-1V00",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PRODUCT CONFIG\MODULE-2019\DP-CRF-6648\HDD\SIM_LAY\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-39,"DP-CRF-6648-600-SIM_CKT-1V00","NOT FOUND",N/A,"DP-CRF-6648-600-SIM_CKT-1V00","N/A","DP-CRF-6648-600-SIM_CKT-1V00",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PRODUCT CONFIG\MODULE-2019\DP-CRF-6648\HDD\SIM_CKT\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-38,"DP-CRF-6648-600-PWR-1V00","NOT FOUND",N/A,"DP-CRF-6648-600-PWR-1V00","N/A","DP-CRF-6648-600-PWR-1V00",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PRODUCT CONFIG\MODULE-2019\DP-CRF-6648\HDD\PWR\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-37,"DP-CRF-6648-600-GLB-1V00","NOT FOUND",N/A,"DP-CRF-6648-600-GLB-1V00","N/A","DP-CRF-6648-600-GLB-1V00",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PRODUCT CONFIG\MODULE-2019\DP-CRF-6648\HDD\GLB\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-36,"DP-CRF-6648-600-DRTNG-1V00","NOT FOUND",N/A,"DP-CRF-6648-600-DRTNG-1V00","N/A","DP-CRF-6648-600-DRTNG-1V00",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PRODUCT CONFIG\MODULE-2019\DP-CRF-6648\HDD\DRTNG\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-35,"DP-CRF-6648-V1-VDD-ATE-1V01","NOT FOUND",N/A,"DP-CRF-6648-V1-VDD-ATE-1V01","N/A","DP-CRF-6648-V1-VDD-ATE-1V01",SKIP,"1V01","N/A","1V01",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PRODUCT CONFIG\MODULE-2019\DP-CRF-6648\SDG\VDD\DP-CRF-6648-V1-VDD-ATE-1V01\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-34,"DP-CRF-6648-600-TRP(DP-ATE-8420-300)-1V00","NOT FOUND",N/A,"DP-CRF-6648-600-TRP(DP-ATE-8420-300)-1V00","N/A","DP-CRF-6648-600-TRP(DP-ATE-8420-300)-1V00",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PRODUCT CONFIG\MODULE-2019\DP-CRF-6648\HDD\TRP\DP-CRF-6648\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-33,"DP-CRF-6648-600-TPR(DP-ATE-8420-300)-1V00","NOT FOUND",N/A,"DP-CRF-6648-600-TPR(DP-ATE-8420-300)-1V00","N/A","DP-CRF-6648-600-TPR(DP-ATE-8420-300)-1V00",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PRODUCT CONFIG\MODULE-2019\DP-CRF-6648\HDD\TPR\DP-CRF-6648\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-32,"DP-CRF-6648-V1-UO-ATE-RPTTEMP-X86-W10-1V00","DP-CRF-6648-V1-UO-ATE-RPTTEMP-x86-W10-1V00.7z",N/A,"DP-CRF-6648-V1-UO-ATE-RPTTEMP-X86-W10-1V00","DP-CRF-6648-V1-UO-ATE-RPTTEMP-x86-W10-1V00","DP-CRF-6648-V1-UO-ATE-RPTTEMP-X86-W10-1V00",SKIP,"1V00","1V00","1V00",SKIP,"","234efcc90c68e1505741cc78dfc5a480",VERIFIED,"","68c2e610",CALCULATED,"\\10.5.0.10\projects24\YEB2694_S-Band Radar_ATE\SDG\DP-CRF-6648\SW\SrcCode\UO\DP-CRF-6648-V1-UO-ATE-RPTTEMP-x86-W10-1V00\",MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"97f5fc0498afddf2dbea6b1e82c34b5b3dc0466f","68c2e610"
-31,"DP-CRF-6648-V1-US-ATE-RPTTEMP-X86-W10-1V00","DP-CRF-6648-V1-US-ATE-RPTTEMP-x86-W10-1V00.7z",N/A,"DP-CRF-6648-V1-US-ATE-RPTTEMP-X86-W10-1V00","DP-CRF-6648-V1-US-ATE-RPTTEMP-x86-W10-1V00","DP-CRF-6648-V1-US-ATE-RPTTEMP-X86-W10-1V00",SKIP,"1V00","1V00","1V00",SKIP,"","611ccdda279a4a8a5076eda9129da705",VERIFIED,"","df3bee23",CALCULATED,"\\10.5.0.10\projects24\YEB2694_S-Band Radar_ATE\SDG\DP-CRF-6648\SW\SrcCode\US\DP-CRF-6648-V1-US-ATE-RPTTEMP-x86-W10-1V00\",MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"1233b2d388fbceb77e58f5f528f3ef57c845fc85","df3bee23"
-30,"DP-CRF-6648-V1-TAB-ATE-X86-MARIADB10V11-1V00","DP-CRF-6648-V1-TAB-ATE-X86-MariaDB10V11-1V00.7z",N/A,"DP-CRF-6648-V1-TAB-ATE-X86-MARIADB10V11-1V00","DP-CRF-6648-V1-TAB-ATE-X86-MariaDB10V11-1V00","DP-CRF-6648-V1-TAB-ATE-X86-MARIADB10V11-1V00",SKIP,"1V00","1V00","1V00",SKIP,"","02a5816262a9f0a70520c4e5b03d4c0d",VERIFIED,"","f1bd4559",CALCULATED,"\\10.5.0.10\projects24\YEB2694_S-Band Radar_ATE\SDG\DP-CRF-6648\SW\SrcCode\TABLE\DP-CRF-6648-V1-TAB-ATE-X86-MariaDB10V11-1V00\",MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"d34b6d51eeb706dda0b88d5044969412da34fbd4","f1bd4559"
-29,"DP-CRF-6648-V1-IS-ATE-X86-W10-1V00","DP-CRF-6648-V1-IS-ATE-X86-W10-1V00.7z",N/A,"DP-CRF-6648-V1-IS-ATE-X86-W10-1V00","DP-CRF-6648-V1-IS-ATE-X86-W10-1V00","DP-CRF-6648-V1-IS-ATE-X86-W10-1V00",SKIP,"1V00","1V00","1V00",SKIP,"","bd70d642f52262807ab50c152807c807",VERIFIED,"","7ae2a463",CALCULATED,"\\10.5.0.10\projects24\YEB2694_S-Band Radar_ATE\SDG\DP-CRF-6648\SW\SrcCode\IS\DP-CRF-6648-V1-IS-ATE-X86-W10-1V00\",MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"635dd1fe68af048288529c77cf1a7539aeeb2967","7ae2a463"
-28,"DP-CRF-6648-V1-AO-ATE-X86-W10-1V00","DP-CRF-6648-V1-AO-ATE-X86-W10-1V00.exe",N/A,"DP-CRF-6648-V1-AO-ATE-X86-W10-1V00","DP-CRF-6648-V1-AO-ATE-X86-W10-1V00","DP-CRF-6648-V1-AO-ATE-X86-W10-1V00",SKIP,"1V00","1V00","1V00",SKIP,"","0e48dc305da1f072c0145646cfd3610a",VERIFIED,"","5c2fc2bf",CALCULATED,"\\10.5.0.10\projects24\YEB2694_S-Band Radar_ATE\SDG\DP-CRF-6648\SW\SrcCode\AO\DP-CRF-6648-V1-AO-ATE-X86-W10-1V00\",MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"c93c3761151bd818145f67cafc37e0700e3cd9ba","5c2fc2bf"
-27,"DP-CRF-6648-V1-AS-ATE-X86-W10-1V00","DP-CRF-6648-V1-AS-ATE-X86-W10-1V00.7z",N/A,"DP-CRF-6648-V1-AS-ATE-X86-W10-1V00","DP-CRF-6648-V1-AS-ATE-X86-W10-1V00","DP-CRF-6648-V1-AS-ATE-X86-W10-1V00",SKIP,"1V00","1V00","1V00",SKIP,"","5e1f9d2e7f3a3f66c71296195144dc1a",VERIFIED,"","1024f470",CALCULATED,"\\10.5.0.10\projects24\YEB2694_S-Band Radar_ATE\SDG\DP-CRF-6648\SW\SrcCode\AS\DP-CRF-6648-V1-AS-ATE-X86-W10-1V00\",MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"1824cb412cea46070ecd341f6fd11a3818eb11c3","1024f470"
-26,"DP-CRF-6648-V1-SIM-ATE-1V00","NOT FOUND",N/A,"DP-CRF-6648-V1-SIM-ATE-1V00","N/A","DP-CRF-6648-V1-SIM-ATE-1V00",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PRODUCT CONFIG\MODULE-2019\DP-CRF-6648\SDG\SIM\DP-CRF-6648-V1-SIM-ATE-1V00\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-25,"DP-CRF-6648-V1-VDD-ATE-1V00","NOT FOUND",N/A,"DP-CRF-6648-V1-VDD-ATE-1V00","N/A","DP-CRF-6648-V1-VDD-ATE-1V00",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PRODUCT CONFIG\MODULE-2019\DP-CRF-6648\SDG\VDD\DP-CRF-6648-V1-VDD-ATE-1V00\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
-24,"DP-CRF-6648-V1-SDD-ATE-1V00","NOT FOUND",N/A,"DP-CRF-6648-V1-SDD-ATE-1V00","N/A","DP-CRF-6648-V1-SDD-ATE-1V00",SKIP,"1V00","N/A","1V00",SKIP,"","Not calculated",NOT CALCULATED,"","Not calculated",N/A,"\\itnas02\PRODUCT CONFIG\MODULE-2019\DP-CRF-6648\SDG\SDD\DP-CRF-6648-V1-SDD-ATE-1V00\",NOT MATCH,Config-Only,CONFIG_ONLY,CONFIG_ONLY,"",""
